Owner,n_plants,n_operating_plants,total_capacity_ttpa,pipeline_capacity_ttpa,n_countries,n_regions,countries,main_region,median_plant_age_years,n_plants_with_litpop,avg_litpop_nearest_usd,avg_litpop_25km_usd,capacity_weighted_litpop_25km_usd,litpop_coverage_share,bof_share,centroid_lat,centroid_lon,largest_plant,largest_plant_lat,largest_plant_lon,max_distance_to_centroid_km,centroid_to_largest_plant_km
Nippon Steel Corp,10,8,44423.0,2500.0,1,1,Japan,Asia Pacific,70.87,10,13035898661.493433,257528786379.0857,319517129600.1745,1.0,0.9616640028813903,35.07849765458107,136.21930017409957,Nippon East Japan Works (Kimitsu) steel plant,35.360912,139.881953,907.4673250673743,334.1760917577561
POSCO Holdings Inc,2,2,41757.0,5000.0,1,1,South Korea,Asia Pacific,46.0,0,,,,0.0,0.9675024546782576,35.41214176111148,128.4824820163093,POSCO Gwangyang steel plant,34.920086,127.74865,105.78125456227751,86.27393574330215
Angang Steel Co Ltd,3,3,30250.0,0.0,1,1,China,Asia Pacific,20.0,3,17992253793.146187,74041047571.84367,128072046899.5572,1.0,1.0,40.96863665579766,122.58983575679623,Angang Steel Co Ltd,41.148267,122.983054,195.75693350700095,38.54802508889595
JFE Steel Corp,5,4,28768.0,2000.0,1,1,Japan,Asia Pacific,61.0,5,78559959627.55774,890055524489.1858,206868809109.7699,1.0,0.9559580088987765,34.80987453145635,134.87487581438216,JFE West Japan Works (Fukuyama) steel plant,34.465222,133.431205,669.3629767210692,137.52367486865444
JSW Steel Ltd,5,4,28359.0,31500.0,1,1,India,Asia Pacific,30.0,5,390503654.86848414,4461305434.650757,4412760509.52387,1.0,0.5874325610917169,17.489163020134434,76.6855698009084,JSW Steel Vijayanagar steel plant,15.180423,76.663134,903.3109670660399,256.73169249720894
Tata Steel Ltd,6,5,26460.0,8370.0,2,1,"India, Singapore",Asia Pacific,55.0,5,1952889413.1808407,15876852892.778147,13955362893.056187,0.8333333333333334,0.8314436885865457,21.255041879926644,86.46710222124452,Tata Steel Jamshedpur steel plant,22.788598,86.1996,2900.0934902362396,172.7388183121284
Hyundai Steel Co,4,3,24297.0,2700.0,2,2,"South Korea, United States",Asia Pacific,46.5,0,,,,0.0,0.5185825410544511,36.95000234829964,127.06653906656175,Hyundai Steel Dangjin steel plant,36.986282,126.69735,11504.886442786154,33.04645624435695
Cleveland-Cliffs Inc,12,8,23655.0,0.0,2,1,"Canada, United States",North America,111.0,0,,,,0.0,0.904713591206933,41.40701936088983,-84.41745461300128,Cleveland-Cliffs Indiana Harbor steel plant,41.669553,-87.438429,741.3586097910878,253.11405083569895
Steel Authority of India Ltd,8,6,21350.0,35840.0,1,1,India,Asia Pacific,67.0,8,3249196970.62921,23408073014.266884,24605050712.24434,1.0,0.9765339578454333,22.56848300898877,84.55756864001886,SAIL Bhilai steel plant,21.185157,81.394207,360.83053202457944,360.83053202457944
Baoshan Iron & Steel Co Ltd,1,1,19800.0,0.0,1,1,China,Asia Pacific,49.0,1,72345769161.90762,1390784081982.4404,1390784081982.4404,1.0,0.8181818181818182,31.416229999999995,121.44008700000002,Baoshan Iron and Steel Co Ltd Headquarters,31.41623,121.440087,7.073240659849489e-13,7.073240659849489e-13
Nucor Corp,13,11,17737.0,3000.0,1,1,United States,North America,37.0,0,,,,0.0,0.0,37.1699777243397,-86.73340561792517,Nucor Steel Berkeley plant,33.004319,-79.880955,3114.0440262545685,776.3519365394167
Maanshan Iron & Steel Co Ltd,1,1,17340.0,1600.0,1,1,China,Asia Pacific,73.0,1,14161932205.740225,67473115662.355225,67473115662.35522,1.0,0.9521337946943483,31.698884000000003,118.468194,Maanshan Iron and Steel Co Ltd,31.698884,118.468194,0.0,0.0
Jiangsu Shagang Iron & Steel Co Ltd,1,1,17305.0,1000.0,1,1,China,Asia Pacific,23.6,1,5778523153.580064,157366677006.87448,157366677006.87448,1.0,0.7818549552152557,31.983146000000005,120.63899200000002,Jiangsu Shagang Iron & Steel Co Ltd,31.983146,120.638992,0.0,0.0
Inner Mongolia BaoTou Steel Union Co Ltd,1,1,16760.0,0.0,1,1,China,Asia Pacific,26.64,1,563557793.4713724,145202593779.9198,145202593779.9198,1.0,1.0,40.647997,109.740898,Inner Mongolia BaoTou Steel Union Co Ltd,40.647997,109.740898,0.0,0.0
Hunan Valin Lianyuan Iron and Steel Co Ltd,2,2,16250.0,0.0,1,1,China,Asia Pacific,68.0,2,4608518568.66061,59052718337.73062,54151311002.51453,1.0,1.0,27.778152452584944,112.38213996468814,Hunan Valin Lianyuan Iron and Steel Co Ltd,27.747782,111.967343,50.83866424633471,40.95321583162737
Wuhan Iron and Steel Co Ltd,2,1,15907.0,0.0,2,1,"China, Indonesia",Asia Pacific,67.44,1,13274108766.720098,792587500359.332,792587500359.332,0.5,1.0,30.616221999999993,114.444975,Wuhan Iron and Steel Co Ltd,30.616222,114.444975,4251.350880516008,7.073240659849489e-13
Magnitogorskiy Metallurgicheskiy Kombinat PJSC,1,1,14500.0,0.0,1,1,Russia,Eurasia,94.0,0,,,,0.0,0.7241379310344828,53.42759300000001,59.05412200000001,Magnitogorsk Iron and Steel Works,53.427593,59.054122,7.073240659849489e-13,7.073240659849489e-13
Hoa Phat Dung Quat Steel JSC,1,1,14499.0,0.0,1,1,Vietnam,Asia Pacific,9.0,0,,,,0.0,1.0,15.37768,108.793321,Hoa Phat Dung Quat steel plant,15.37768,108.793321,0.0,0.0
Novolipetsk Steel PJSC,1,1,14400.0,0.0,1,1,Russia,Eurasia,92.0,0,,,,0.0,1.0,52.557372,39.629574,NLMK Lipetsk steel plant,52.557372,39.629574,0.0,0.0
Baosteel Zhanjiang Iron & Steel Co Ltd,1,1,14328.0,0.0,1,1,China,Asia Pacific,15.0,1,1178377706.3453572,17735392319.652344,17735392319.652344,1.0,0.8743718592964824,21.056035000000005,110.48657,Baosteel Zhanjiang Iron and Steel Co Ltd,21.056035,110.48657,3.5366203299247443e-13,3.5366203299247443e-13
Shougang Jingtang United Iron & Steel Co Ltd,1,1,13700.0,0.0,1,1,China,Asia Pacific,21.0,1,102371633.8710309,409257805.6214823,409257805.6214823,1.0,1.0,38.953663999999996,118.50339,Shougang Jingtang United Iron and Steel Co Ltd,38.953664,118.50339,7.073240659849489e-13,7.073240659849489e-13
Bengang Steel Plates Co Ltd,1,1,13440.0,1500.0,1,1,China,Asia Pacific,28.65,1,10302505895.931911,41341080042.0156,41341080042.0156,1.0,0.9226190476190477,41.27413200000001,123.722099,Bengang Steel Plates Co Ltd,41.274132,123.722099,7.073240659849489e-13,7.073240659849489e-13
United States Steel Corp,6,4,13350.0,3000.0,1,1,United States,North America,124.0,0,,,,0.0,0.8801498127340824,40.15629675608896,-86.1307181488583,U.S. Steel Gary Works,41.620799,-87.348266,1753.9620032324806,192.33297404212587
Steel Dynamics Inc,6,6,12662.0,0.0,1,1,United States,North America,23.0,0,,,,0.0,0.0,36.15173153589066,-88.84047098321531,Steel Dynamics Columbus plant,33.44758,-88.572683,1213.230186410463,301.68041374566366
Shanxi Taigang Stainless Steel Co Ltd,1,1,12460.0,0.0,1,1,China,Asia Pacific,27.69,1,24668432523.352684,350657524309.1629,350657524309.1629,1.0,0.7062600321027287,37.931488,112.53932100000002,Shanxi Taigang Stainless Steel Co Ltd,37.931488,112.539321,1.1157985837532377e-12,1.1157985837532377e-12
Severstal PJSC,1,1,12201.0,0.0,1,1,Russia,Eurasia,71.0,0,,,,0.0,0.8032948119006639,59.143998,37.862950000000005,Severstal Cherepovets steel plant,59.143998,37.86295,3.627739118414801e-13,3.627739118414801e-13
Rizhao Steel Holding Group Co Ltd,1,1,11300.0,10350.0,1,1,China,Asia Pacific,22.77,1,784949051.4879102,17666682118.644394,17666682118.644394,1.0,1.0,35.16535,119.366672,Rizhao Steel Holding Group Co Ltd,35.16535,119.366672,0.0,0.0
Xinyu Iron & Steel Corp Ltd,1,1,11001.0,0.0,1,1,China,Asia Pacific,68.0,1,7022275672.93845,15455467882.228138,15455467882.228138,1.0,0.9090991728024725,27.786858999999996,114.921595,Xinyu Iron and Steel Group Co Ltd,27.786859,114.921595,3.5366203299247443e-13,3.5366203299247443e-13
Government of North Korea,4,4,10252.0,0.0,1,1,North Korea,Asia Pacific,86.0,0,,,,0.0,0.4389387436597737,41.12371785879275,128.81821822324397,Kim Chaek Iron and Steel Complex steel plant,41.753784,129.752681,380.2535908746495,104.76607949478672
Hebei Donghai SPECIAL Steel Group Co Ltd,1,1,10001.0,0.0,1,1,China,Asia Pacific,17.0,1,1222250055.6719754,75657011830.70213,75657011830.70213,1.0,1.0,39.610605,118.474722,Hebei Donghai Special Steel Co Ltd,39.610605,118.474722,0.0,0.0
Nanjing Iron & Steel Co Ltd,1,1,10000.0,0.0,1,1,China,Asia Pacific,68.0,1,11508667093.45597,555278339183.4594,555278339183.4594,1.0,1.0,32.200797,118.746315,Nanjing Iron and Steel Co Ltd,32.200797,118.746315,0.0,0.0
China Steel Corp,1,1,10000.0,1500.0,1,1,Taiwan,Asia Pacific,55.0,0,,,,0.0,1.0,22.555442000000003,120.349252,China Steel Xiaogang steel plant,22.555442,120.349252,3.5366203299247443e-13,3.5366203299247443e-13
Hebei Yanshan Iron and Steel Group Co Ltd,1,1,9990.0,0.0,1,1,China,Asia Pacific,24.0,1,4245679723.9297485,30114152964.391434,30114152964.391434,1.0,0.924924924924925,39.925508,118.672757,Hebei Yanshan Iron and Steel Group Co Ltd,39.925508,118.672757,0.0,0.0
