iso3,lat_bin,lon_bin,value,log10_value
CHN,18.25,108.75,1077773273.0,9.033
CHN,18.25,109.25,8988678476.0,9.954
CHN,18.25,109.75,11847320397.0,10.074
CHN,18.25,110.25,1134819135.0,9.055
CHN,18.75,108.75,1137312131.0,9.056
CHN,18.75,109.25,807817409.0,8.907
CHN,18.75,109.75,1184421636.0,9.074
CHN,18.75,110.25,6934620083.0,9.841
CHN,19.25,108.75,4065277394.0,9.609
CHN,19.25,109.25,2303168173.0,9.362
CHN,19.25,109.75,2238924540.0,9.35
CHN,19.25,110.25,4714896230.0,9.673
CHN,19.25,110.75,896654933.0,8.953
CHN,19.75,109.25,6021792674.0,9.78
CHN,19.75,109.75,6241150951.0,9.795
CHN,19.75,110.25,81043965987.0,10.909
CHN,19.75,110.75,4379279306.0,9.641
CHN,20.25,109.75,103576250.0,8.015
CHN,20.25,110.25,8616047154.0,9.935
CHN,20.25,110.75,82307830.0,7.915
CHN,20.75,109.75,624993302.0,8.796
CHN,20.75,110.25,5131807937.0,9.71
CHN,21.25,100.25,1405295.0,6.148
CHN,21.25,100.75,1425305.0,6.154
CHN,21.25,101.25,34041312.0,7.532
CHN,21.25,101.75,96223787.0,7.983
CHN,21.25,109.25,21317575558.0,10.329
CHN,21.25,109.75,816346653.0,8.912
CHN,21.25,110.25,35575205238.0,10.551
CHN,21.25,110.75,21547486874.0,10.333
CHN,21.25,111.25,395124238.0,8.597
CHN,21.75,99.75,1675223.0,6.224
CHN,21.75,100.25,343681891.0,8.536
CHN,21.75,100.75,1405690263.0,9.148
CHN,21.75,101.25,67076212.0,7.827
CHN,21.75,101.75,36563567.0,7.563
CHN,21.75,106.75,1905812.0,6.28
CHN,21.75,107.25,38970428.0,7.591
CHN,21.75,107.75,1369085596.0,9.136
CHN,21.75,108.25,3133006746.0,9.496
CHN,21.75,108.75,8610350786.0,9.935
CHN,21.75,109.25,7718237162.0,9.888
CHN,21.75,109.75,2343568766.0,9.37
CHN,21.75,110.25,14978635284.0,10.175
CHN,21.75,110.75,71129334023.0,10.852
CHN,21.75,111.25,15013241735.0,10.176
CHN,21.75,111.75,11133416499.0,10.047
CHN,21.75,112.25,4508740084.0,9.654
CHN,21.75,112.75,378790246.0,8.578
CHN,22.25,99.25,35017189.0,7.544
CHN,22.25,99.75,184788512.0,8.267
CHN,22.25,100.25,127395706.0,8.105
CHN,22.25,100.75,1990732445.0,9.299
CHN,22.25,101.25,28972839.0,7.462
CHN,22.25,101.75,5795720.0,6.763
CHN,22.25,102.25,1793601.0,6.254
CHN,22.25,103.25,604067.0,5.781
CHN,22.25,106.75,771101462.0,8.887
CHN,22.25,107.25,1448506236.0,9.161
CHN,22.25,107.75,500127062.0,8.699
CHN,22.25,108.25,276972300.0,8.442
CHN,22.25,108.75,1524824568.0,9.183
CHN,22.25,109.25,2566891785.0,9.409
CHN,22.25,109.75,2435826511.0,9.387
CHN,22.25,110.25,2699028550.0,9.431
CHN,22.25,110.75,5621154865.0,9.75
CHN,22.25,111.25,358844143.0,8.555
CHN,22.25,111.75,4022673649.0,9.605
CHN,22.25,112.25,6956967295.0,9.842
CHN,22.25,112.75,37902618530.0,10.579
CHN,22.25,113.25,93155016231.0,10.969
CHN,22.25,113.75,30438790954.0,10.483
CHN,22.75,99.25,17678142.0,7.247
CHN,22.75,99.75,483007170.0,8.684
CHN,22.75,100.25,65416719.0,7.816
CHN,22.75,100.75,2181354436.0,9.339
CHN,22.75,101.25,421920602.0,8.625
CHN,22.75,101.75,69142027.0,7.84
CHN,22.75,102.25,76195114.0,7.882
CHN,22.75,102.75,81685164.0,7.912
CHN,22.75,103.25,365793494.0,8.563
CHN,22.75,103.75,260677744.0,8.416
CHN,22.75,104.25,168032932.0,8.225
CHN,22.75,104.75,99578129.0,7.998
CHN,22.75,105.75,3462881.0,6.539
CHN,22.75,106.25,19337108.0,7.286
CHN,22.75,106.75,78316148.0,7.894
CHN,22.75,107.25,281962203.0,8.45
CHN,22.75,107.75,1246662598.0,9.096
CHN,22.75,108.25,225692536234.0,11.354
CHN,22.75,108.75,3495551099.0,9.544
CHN,22.75,109.25,3492975058.0,9.543
CHN,22.75,109.75,2689215486.0,9.43
CHN,22.75,110.25,42365564719.0,10.627
CHN,22.75,110.75,3473865835.0,9.541
CHN,22.75,111.25,1813599419.0,9.259
CHN,22.75,111.75,7706948785.0,9.887
CHN,22.75,112.25,15249163700.0,10.183
CHN,22.75,112.75,82168055721.0,10.915
CHN,22.75,113.25,684680263338.0,11.835
CHN,22.75,113.75,746522541661.0,11.873
CHN,22.75,114.25,751916138101.0,11.876
CHN,22.75,114.75,25920289263.0,10.414
CHN,22.75,115.25,21394405462.0,10.33
CHN,22.75,115.75,15120112868.0,10.18
CHN,22.75,116.25,4156551939.0,9.619
CHN,23.25,98.75,10913826.0,7.038
CHN,23.25,99.25,187159506.0,8.272
CHN,23.25,99.75,141301629.0,8.15
CHN,23.25,100.25,48696138.0,7.687
CHN,23.25,100.75,114804942.0,8.06
CHN,23.25,101.25,181160883.0,8.258
CHN,23.25,101.75,258596146.0,8.413
CHN,23.25,102.25,311297558.0,8.493
CHN,23.25,102.75,314599967.0,8.498
CHN,23.25,103.25,12947885299.0,10.112
CHN,23.25,103.75,177677897.0,8.25
CHN,23.25,104.25,5614677121.0,9.749
CHN,23.25,104.75,1076886157.0,9.032
CHN,23.25,105.25,321779477.0,8.508
CHN,23.25,105.75,205684099.0,8.313
CHN,23.25,106.25,1612139070.0,9.207
CHN,23.25,106.75,812158085.0,8.91
CHN,23.25,107.25,568129876.0,8.754
CHN,23.25,107.75,2536966958.0,9.404
CHN,23.25,108.25,4350909701.0,9.639
CHN,23.25,108.75,5716507766.0,9.757
CHN,23.25,109.25,1929990315.0,9.286
CHN,23.25,109.75,13920929499.0,10.144
CHN,23.25,110.25,5681939532.0,9.754
CHN,23.25,110.75,1878364864.0,9.274
CHN,23.25,111.25,14322548078.0,10.156
CHN,23.25,111.75,3783323830.0,9.578
CHN,23.25,112.25,32952947059.0,10.518
CHN,23.25,112.75,107371278319.0,11.031
CHN,23.25,113.25,1338577131345.0,12.127
CHN,23.25,113.75,378271703512.0,11.578
CHN,23.25,114.25,170783426528.0,11.232
CHN,23.25,114.75,13113374670.0,10.118
CHN,23.25,115.25,3065111970.0,9.486
CHN,23.25,115.75,6397152743.0,9.806
CHN,23.25,116.25,200122415008.0,11.301
CHN,23.25,116.75,175782936545.0,11.245
CHN,23.25,117.25,116613040.0,8.067
CHN,23.75,97.75,104318644.0,8.018
CHN,23.75,98.75,119094288.0,8.076
CHN,23.75,99.25,320776044.0,8.506
CHN,23.75,99.75,110144445.0,8.042
CHN,23.75,100.25,1646789554.0,9.217
CHN,23.75,100.75,104156568.0,8.018
CHN,23.75,101.25,75084043.0,7.876
CHN,23.75,101.75,460363190.0,8.663
CHN,23.75,102.25,745518463.0,8.872
CHN,23.75,102.75,2676578718.0,9.428
CHN,23.75,103.25,2972155358.0,9.473
CHN,23.75,103.75,487007597.0,8.688
CHN,23.75,104.25,886875815.0,8.948
CHN,23.75,104.75,226105798.0,8.354
CHN,23.75,105.25,163190136.0,8.213
CHN,23.75,105.75,268756463.0,8.429
CHN,23.75,106.25,102523041.0,8.011
CHN,23.75,106.75,3974901564.0,9.599
CHN,23.75,107.25,1280642322.0,9.107
CHN,23.75,107.75,524371523.0,8.72
CHN,23.75,108.25,1083698736.0,9.035
CHN,23.75,108.75,1175978585.0,9.07
CHN,23.75,109.25,6966462396.0,9.843
CHN,23.75,109.75,1144417551.0,9.059
CHN,23.75,110.25,4503434599.0,9.654
CHN,23.75,110.75,306853939.0,8.487
CHN,23.75,111.25,3543812283.0,9.549
CHN,23.75,111.75,475198476.0,8.677
CHN,23.75,112.25,3254329815.0,9.512
CHN,23.75,112.75,13660773748.0,10.135
CHN,23.75,113.25,35940340335.0,10.556
CHN,23.75,113.75,11997411120.0,10.079
CHN,23.75,114.25,2561233493.0,9.408
CHN,23.75,114.75,22966703903.0,10.361
CHN,23.75,115.25,1448916134.0,9.161
CHN,23.75,115.75,4047615778.0,9.607
CHN,23.75,116.25,88853390013.0,10.949
CHN,23.75,116.75,128862703071.0,11.11
CHN,23.75,117.25,16399365104.0,10.215
CHN,23.75,117.75,1569625709.0,9.196
CHN,24.25,97.75,1695814212.0,9.229
CHN,24.25,98.25,209436607.0,8.321
CHN,24.25,98.75,1541003071.0,9.188
CHN,24.25,99.25,195033789.0,8.29
CHN,24.25,99.75,110227478.0,8.042
CHN,24.25,100.25,540240645.0,8.733
CHN,24.25,100.75,145491329.0,8.163
CHN,24.25,101.25,113739272.0,8.056
CHN,24.25,101.75,342691011.0,8.535
CHN,24.25,102.25,2727723387.0,9.436
CHN,24.25,102.75,21308494154.0,10.329
CHN,24.25,103.25,2066118637.0,9.315
CHN,24.25,103.75,352761968.0,8.547
CHN,24.25,104.25,510891939.0,8.708
CHN,24.25,104.75,105210911.0,8.022
CHN,24.25,105.25,299251434.0,8.476
CHN,24.25,105.75,39221160.0,7.594
CHN,24.25,106.25,124515230.0,8.095
CHN,24.25,106.75,195079341.0,8.29
CHN,24.25,107.25,274104138.0,8.438
CHN,24.25,107.75,102930964.0,8.013
CHN,24.25,108.25,146135957.0,8.165
CHN,24.25,108.75,1032482409.0,9.014
CHN,24.25,109.25,102558733308.0,11.011
CHN,24.25,109.75,3649076235.0,9.562
CHN,24.25,110.25,736151711.0,8.867
CHN,24.25,110.75,398854389.0,8.601
CHN,24.25,111.25,1402765255.0,9.147
CHN,24.25,111.75,4400051535.0,9.643
CHN,24.25,112.25,230808884.0,8.363
CHN,24.25,112.75,1068060191.0,9.029
CHN,24.25,113.25,5463269732.0,9.737
CHN,24.25,113.75,1209358197.0,9.083
CHN,24.25,114.25,1330133360.0,9.124
CHN,24.25,114.75,2251175998.0,9.352
CHN,24.25,115.25,3329256770.0,9.522
CHN,24.25,115.75,9411915104.0,9.974
CHN,24.25,116.25,16652285456.0,10.221
CHN,24.25,116.75,1847656560.0,9.267
CHN,24.25,117.25,2859938718.0,9.456
CHN,24.25,117.75,29708328359.0,10.473
CHN,24.25,118.25,111693700797.0,11.048
CHN,24.75,97.75,552860374.0,8.743
CHN,24.75,98.25,367890885.0,8.566
CHN,24.75,98.75,499488676.0,8.699
CHN,24.75,99.25,676075061.0,8.83
CHN,24.75,99.75,1048930583.0,9.021
CHN,24.75,100.25,241360422.0,8.383
CHN,24.75,100.75,99742003.0,7.999
CHN,24.75,101.25,72119460.0,7.858
CHN,24.75,101.75,1233533474.0,9.091
CHN,24.75,102.25,7143049868.0,9.854
CHN,24.75,102.75,83331712804.0,10.921
CHN,24.75,103.25,4538042299.0,9.657
CHN,24.75,103.75,2715786204.0,9.434
CHN,24.75,104.25,1526994563.0,9.184
CHN,24.75,104.75,156723474.0,8.195
CHN,24.75,105.25,322988803.0,8.509
CHN,24.75,105.75,120822594.0,8.082
CHN,24.75,106.25,53519001.0,7.729
CHN,24.75,106.75,120571228.0,8.081
CHN,24.75,107.25,265346738.0,8.424
CHN,24.75,107.75,347307218.0,8.541
CHN,24.75,108.25,2878538439.0,9.459
CHN,24.75,108.75,616134628.0,8.79
CHN,24.75,109.25,661070793.0,8.82
CHN,24.75,109.75,235588355.0,8.372
CHN,24.75,110.25,1548152685.0,9.19
CHN,24.75,110.75,1274986656.0,9.106
CHN,24.75,111.25,1326900088.0,9.123
CHN,24.75,111.75,200352357.0,8.302
CHN,24.75,112.25,2476480125.0,9.394
CHN,24.75,112.75,174848126.0,8.243
CHN,24.75,113.25,1018072537.0,9.008
CHN,24.75,113.75,28880038992.0,10.461
CHN,24.75,114.25,705150775.0,8.848
CHN,24.75,114.75,1928091824.0,9.285
CHN,24.75,115.25,597278522.0,8.776
CHN,24.75,115.75,1651475246.0,9.218
CHN,24.75,116.25,1467434557.0,9.167
