Plant ID,Plant name (English),Owner,Country/Area,Region,Coordinates,Plant age (years),Parent,SOE Status,Subnational unit (province/state),Municipality,Coordinate accuracy,Main production equipment,GEM wiki page,Latitude,Longitude,start_year,workforce,sinter_ttpa,coking_ttpa,pelletizing_ttpa,ferronickel_ttpa,route,capacity_operating_ttpa,capacity_pipeline_ttpa,capacity_idle_ttpa,capacity_closed_ttpa,iron_capacity_operating_ttpa,capacity_operating_bof_ttpa,capacity_operating_eaf_ttpa,plant_status,capacity_statuses
P100000120882,Aba Iron and Steel Payas plant,ABA Çelik Demir LŞ,Türkiye,Europe,"36.7474130, 36.2173300",43.0,ABA Çelik Demir LŞ [100.0%],N/A,Hatay,Payas,exact,EAF,https://www.gem.wiki/Aba_Iron_and_Steel_Payas_plant,36.747413,36.21733,1983.0,900.0,0.0,0.0,0.0,0.0,EAF / IF (electric),1100.0,0.0,0.0,0.0,0.0,0.0,1100.0,operating,operating
P100000120753,Abba Steel Ohangwena steel plant,Abba Steel Ltd,Namibia,Africa,"-17.3978660, 15.8910220",1.0,Abba Steel Ltd [100.0%],N/A,Ohangwena,Oshikango,approximate,EAF,https://www.gem.wiki/Abba_Steel_Ohangwena_steel_plant,-17.397866,15.891022,2025.0,5500.0,,0.0,,0.0,EAF / IF (electric),0.0,3000.0,0.0,0.0,,,,construction,construction
P100000120802,Abinsk Electric Steel Works,Abinski Elektrometallurgicheski Zavod LLC,Russia,Eurasia,"44.8819380, 38.1275100",12.0,Novostal-M LLC [100.0%],N/A,Krasnodar,Abinsk,exact,EAF,https://www.gem.wiki/Abinsk_Electric_Steel_Works,44.881938,38.12751,2014.0,4500.0,0.0,0.0,0.0,0.0,EAF / IF (electric),1600.0,0.0,0.0,0.0,0.0,0.0,1600.0,operating,operating
P100000120020,Abul Khair Steel Sitakunda plant,Abul Khair Steel Ltd,Bangladesh,Asia Pacific,"22.4720080, 91.7348270",11.0,Abul Khair Ltd,N/A,Chittagong,Sitakunda,exact,EAF,https://www.gem.wiki/Abul_Khair_Steel_Sitakunda_plant,22.472008,91.734827,2015.0,,0.0,0.0,0.0,0.0,EAF / IF (electric),1400.0,0.0,0.0,0.0,0.0,0.0,1400.0,operating,operating
P100000120620,Acciaierie d'Italia Taranto steel plant,Acciaierie d'italia SpA,Italy,Europe,"40.5089930, 17.2075890",61.0,Acciaierie d'italia SpA [100.0%],Full,Province of Taranto,Taranto,exact,DRI; EAF; BF; BOF,https://www.gem.wiki/Acciaierie_d'Italia_Taranto_steel_plant,40.508993,17.207589,1965.0,11000.0,,,0.0,0.0,BF-BOF (coal-based),7800.0,6000.0,0.0,0.0,4000.0,7800.0,0.0,operating pre-retirement,operating pre-retirement; announced; mothballed pre-retirement; retired
P100000120634,Acciaierie Venete Borgo Valsugana steel plant,Acciaierie Venete SpA,Italy,Europe,"46.0491820, 11.4403940",47.0,Acciaierie Venete SpA [100.0%],N/A,Province of Trentino-Alto Adige,Borgo Valsugana,exact,EAF,https://www.gem.wiki/Acciaierie_Venete_Borgo_Valsugana_steel_plant,46.049182,11.440394,1979.0,115.0,0.0,0.0,0.0,0.0,EAF / IF (electric),600.0,0.0,0.0,0.0,0.0,0.0,600.0,operating,operating
P100000120636,Acciaierie Venete Padua steel plant,Acciaierie Venete SpA,Italy,Europe,"45.4191680, 11.9066250",35.0,Acciaierie Venete SpA [100.0%],N/A,Province of Podova,Camin,exact,EAF,https://www.gem.wiki/Acciaierie_Venete_Padua_steel_plant,45.419168,11.906625,1991.0,601.0,0.0,0.0,0.0,0.0,EAF / IF (electric),600.0,750.0,0.0,0.0,0.0,0.0,600.0,operating,operating; announced
P100000120635,Acciaierie Venete Sarezzo steel plant,Acciaierie Venete SpA,Italy,Europe,"45.6486910, 10.2091140",59.0,Acciaierie Venete SpA [100.0%],N/A,Province of Brescia,Sarezzo,exact,EAF,https://www.gem.wiki/Acciaierie_Venete_Sarezzo_steel_plant,45.648691,10.209114,1967.0,139.0,0.0,0.0,0.0,0.0,EAF / IF (electric),540.0,0.0,0.0,0.0,0.0,0.0,540.0,operating,operating
P100000120005,Aceria Angola Bengo steel plant,Ada - Aceria De Angola SA,Angola,Africa,"-8.5824000, 13.4052710",11.0,Sa Machado Lda,N/A,Bengo,Barra de Dande,exact,IF,https://www.gem.wiki/Aceria_Angola_Bengo_steel_plant,-8.5824,13.405271,2015.0,600.0,,,,,EAF / IF (electric),500.0,0.0,0.0,0.0,0.0,0.0,0.0,operating,operating
P100000121029,Acerinox Columbus Stainless steel plant,Columbus Stainless (Pty) Ltd,South Africa,Africa,"-25.7963130, 29.4979720",60.0,Acerinox SA [76.0%]; Industrial Development Corporation of South Africa Ltd [24.0%],Partial,Mpumalanga,Middelburg,exact,EAF,https://www.gem.wiki/Acerinox_Columbus_Stainless_steel_plant,-25.796313,29.497972,1966.0,1319.0,0.0,0.0,0.0,0.0,EAF / IF (electric),850.0,0.0,0.0,0.0,0.0,0.0,850.0,operating,operating
P100000120454,Acerinox Europa Los Barrios steel plant,Acerinox Europa SAU,Spain,Europe,"36.1816860, -5.4266260",56.0,Acerinox SA [100.0%],N/A,Cádiz,Los Barrios,exact,EAF,https://www.gem.wiki/Acerinox_Europa_Los_Barrios_steel_plant,36.181686,-5.426626,1970.0,1746.0,0.0,0.0,0.0,0.0,EAF / IF (electric),1200.0,0.0,0.0,0.0,0.0,0.0,1200.0,operating,operating
P100000120768,Aceros Arequipa Pisco steel plant,Corporacion Aceros Arequipa SA,Peru,Central & South America,"-13.7886220, -76.1681730",39.0,Corporacion Aceros Arequipa SA [100.0%],N/A,Ica,Pisco,exact,EAF; DRI,https://www.gem.wiki/Aceros_Arequipa_Pisco_steel_plant,-13.788622,-76.168173,1987.0,730.0,,0.0,,0.0,EAF / IF (electric),1250.0,0.0,850.0,0.0,0.0,0.0,1250.0,operating,operating; mothballed
P100001045296,Action Ispat and Power Jharsuguda steel plant,Action Ispat and Power Pvt Ltd,India,Asia Pacific,"21.8397590, 83.9822270",,Action Ispat and Power Pvt Ltd [100.0%],N/A,Odisha,Pandripathar,exact,DRI; IF; Steel other/unspecified,https://www.gem.wiki/Action_Ispat_and_Power_Jharsuguda_steel_plant,21.839759,83.982227,,,,0.0,,0.0,DRI-EAF,375.0,7125.0,0.0,0.0,220.0,0.0,0.0,operating,operating; announced
P100001025815,Adhunik Metaliks Kuanrmunda steel plant,Adhunik Metaliks Ltd,India,Asia Pacific,"22.3083710, 84.7635840",22.81,natural person(s) [36.1%]; small shareholder(s) [28.8%]; Mahanada Suppliers Pvt Ltd [22.6%]; Sunrwoth Stocks Pvt Ltd [12.5%],N/A,Odisha,Kuanrmunda,exact,BF; DRI; EAF,https://www.gem.wiki/Adhunik_Metaliks_Kuanrmunda_steel_plant,22.308371,84.763584,2003.0,1500.0,,,,,Mixed (BF-BOF + electric),500.0,0.0,0.0,0.0,330.0,0.0,500.0,operating,operating
P100000120757,African Natural Resources and Mines Kaduna steel plant,African Natural Resources & Mines Ltd,Nigeria,Africa,"9.4627150, 7.3680000",1.45,African Industries Ltd,N/A,Kaduna State,Kagarko,exact,DRI; Steel other/unspecified,https://www.gem.wiki/African_Natural_Resources_and_Mines_Kaduna_steel_plant,9.462715,7.368,2024.0,3500.0,,0.0,5400.0,0.0,DRI (ironmaking only),0.0,1000.0,0.0,0.0,1000.0,0.0,0.0,operating,operating; construction
P100000120624,AFV Accaierie Beltrame Vicenza steel plant,AFV Acciaierie Beltrame SpA,Italy,Europe,"45.5220970, 11.4992950",50.0,Beltrame Holding SpA [91.9%]; unknown [8.1%],N/A,Province of Vicenza,Vicenza,exact,EAF,https://www.gem.wiki/AFV_Accaierie_Beltrame_Vicenza_steel_plant,45.522097,11.499295,1976.0,419.0,0.0,0.0,0.0,0.0,EAF / IF (electric),1200.0,0.0,0.0,0.0,0.0,0.0,1200.0,operating,operating
P100000121240,AFV Donalam Targoviste steel plant,Donalam SRL,Romania,Europe,"44.9045690, 25.4581240",53.0,Beltrame Holding SpA [86.1%]; unknown [7.6%],N/A,Județul Dâmbovița,Târgoviște,exact,EAF,https://www.gem.wiki/AFV_Donalam_Targoviste_steel_plant,44.904569,25.458124,1973.0,730.0,0.0,0.0,0.0,0.0,EAF / IF (electric),300.0,300.0,0.0,0.0,0.0,0.0,300.0,operating pre-retirement,operating pre-retirement; construction
P100000120423,AG der Dillinger Hüttenwerke Dillingen steel plant,AG der Dillinger Hüttenwerke AG,Germany,Europe,"49.3538840, 6.7466030",57.0,Montan-Stiftung-Saar [50.9%]; ArcelorMittal SA [29.8%]; unknown [8.7%],N/A,Saarland,Dillengen,exact,DRI; EAF; BF; BOF,https://www.gem.wiki/AG_der_Dillinger_Hüttenwerke_Dillingen_steel_plant,49.353884,6.746603,1969.0,3600.0,0.0,0.0,0.0,0.0,BF-BOF (coal-based),2760.0,3150.0,0.0,0.0,4782.0,2760.0,0.0,operating pre-retirement,operating pre-retirement; construction; announced; mothballed
P100000120494,AG Sidegua Masagua steel plant,Corporación AG SA,Guatemala,Central & South America,"14.2320070, -90.8154440",32.0,Fundacion Jose Luis Gabriel; Industrial Assets Fund LP,N/A,Escuintla,Masagua,exact,EAF,https://www.gem.wiki/AG_Sidegua_Masagua_steel_plant,14.232007,-90.815444,1994.0,1080.0,0.0,0.0,0.0,0.0,EAF / IF (electric),500.0,0.0,0.0,0.0,0.0,0.0,500.0,operating,operating
P100000120782,Agha Steel Industries Karachi plant,Agha Steel Industries Ltd,Pakistan,Asia Pacific,"24.8418510, 67.3101590",14.14,Agha Steel Industries Ltd [100.0%],N/A,Sindh,Karachi,exact,EAF; BF,https://www.gem.wiki/Agha_Steel_Industries_Karachi_plant,24.841851,67.310159,2012.0,,,,,,EAF / IF (electric),450.0,0.0,0.0,0.0,0.0,0.0,450.0,operating,operating; announced
